Product Name,Number of Plates,Plate Descriptions
Battlebox,4,"['Base (1 color)', 'Lid (2-4 colors)', 'Dice rack (1 color)', 'Spacers & Storage (2 colors)']"
Double Deployment Zone set,3,"['Box (2 colors)', 'Set 1 (2 colors)', 'Set 2 (2 colors)']"
Single Deployment zone set,2,"['Box (2 colors)', 'Set 1 (2 colors)']"
Deep Strike Combo set,1,['1 Plate (2 colors)']
"Deep Strike 9""",1,['1 Plate (2 colors)']
"Deep Strike 6""",1,['1 Plate (2 colors)']
"3"" Measurement stick",1,['1 Plate (2 colors)']
"6"" Measurement stick",1,['1 Plate (2 colors)']
16mm Wound marker combo,1,['1 Plate (2 colors)']
16mm Wound marker XL set,1,['1 Plate (2 colors)']
12mm Wound marker combo,1,['1 Plate (2 colors)']
12mm Wound marker XL set,1,['1 Plate (2 colors)']
Objective Marker set,2,"['Box (2 colors)', 'Markers (2 colors)']"
